[[184  53]
 [172  59]
 [162  61]
 [150  63]
 [138  64]
 [134  75]
 [135  92]
 [132 106]
 [128 117]
 [126 134]
 [131 146]
 [134 157]
 [132 169]
 [136 182]
 [128 191]
 [125 205]
 [127 217]
 [132 227]
 [131 238]
 [138 248]
 [143 260]
 [145 276]
 [144 289]
 [147 302]
 [147 316]
 [148 330]
 [148 341]
 [149 355]
 [149 370]
 [149 387]
 [148 400]
 [149 412]
 [147 423]
 [140 424]
 [132 427]
 [128 433]
 [127 444]
 [119 444]
 [118 454]
 [117 464]
 [106 468]
 [107 480]
 [100 481]
 [100 492]
 [108 496]
 [117 499]
 [128 504]
 [136 505]
 [151 506]
 [162 511]
 [173 514]
 [184 517]
 [196 520]
 [207 522]
 [218 524]
 [229 526]
 [237 525]
 [248 522]
 [262 521]
 [275 515]
 [286 511]
 [298 508]
 [308 504]
 [321 498]
 [334 496]
 [347 492]
 [356 488]
 [366 487]
 [374 483]
 [384 480]
 [393 476]
 [394 465]
 [396 453]
 [395 445]
 [388 442]
 [388 433]
 [383 424]
 [376 421]
 [375 413]
 [366 408]
 [359 406]
 [360 396]
 [359 379]
 [360 367]
 [360 354]
 [361 342]
 [359 329]
 [361 317]
 [362 303]
 [361 292]
 [361 277]
 [360 266]
 [360 258]
 [362 252]
 [363 239]
 [369 232]
 [374 225]
 [373 217]
 [365 216]
 [352 215]
 [354 204]
 [354 192]
 [357 184]
 [348 183]
 [337 180]
 [335 172]
 [334 162]
 [332 153]
 [332 145]
 [330 137]
 [327 127]
 [331 120]
 [326 113]
 [320 105]
 [312  98]
 [301  93]
 [293  88]
 [286  83]
 [276  80]
 [264  81]
 [257  79]
 [245  78]
 [237  74]
 [227  70]
 [217  65]
 [206  61]
 [199  57]
 [144  81]
 [156  88]
 [165  95]
 [176 103]
 [183 111]
 [194 116]
 [203 127]
 [216 128]
 [235 125]
 [254 124]
 [268 126]
 [279 126]
 [291 128]
 [302 126]
 [310 128]
 [320 129]
 [210 135]
 [211 148]
 [212 162]
 [214 175]
 [215 187]
 [215 199]
 [218 213]
 [218 224]
 [218 234]
 [183 232]
 [200 231]
 [210 231]
 [191 227]
 [178 230]
 [166 229]
 [158 228]
 [145 230]
 [138 230]
 [231 229]
 [241 228]
 [254 227]
 [265 226]
 [278 224]
 [291 225]
 [304 224]
 [318 224]
 [332 223]
 [344 222]
 [154 428]
 [167 430]
 [178 432]
 [189 435]
 [198 437]
 [212 441]
 [226 445]
 [235 444]
 [246 443]
 [256 439]
 [268 436]
 [279 433]
 [290 431]
 [306 426]
 [316 423]
 [327 421]
 [339 415]
 [354 412]
 [228 455]
 [229 463]
 [231 472]
 [233 485]
 [233 497]
 [235 508]
 [236 518]
 [180 240]
 [175 246]
 [171 257]
 [174 276]
 [174 285]
 [175 297]
 [177 309]
 [176 322]
 [178 335]
 [179 349]
 [179 361]
 [179 375]
 [180 386]
 [182 401]
 [181 410]
 [181 424]
 [192 243]
 [197 247]
 [201 256]
 [201 268]
 [203 285]
 [204 300]
 [204 311]
 [205 325]
 [206 343]
 [207 357]
 [207 370]
 [206 385]
 [208 396]
 [207 410]
 [209 423]
 [207 432]
 [248 232]
 [239 242]
 [233 253]
 [235 265]
 [234 280]
 [235 291]
 [236 302]
 [236 319]
 [236 331]
 [236 345]
 [238 360]
 [239 376]
 [240 386]
 [243 405]
 [243 417]
 [243 434]
 [258 236]
 [262 243]
 [261 258]
 [263 270]
 [263 286]
 [263 298]
 [263 311]
 [262 327]
 [263 340]
 [263 354]
 [264 371]
 [264 390]
 [264 404]
 [264 419]
 [264 432]
 [316 232]
 [310 237]
 [303 243]
 [299 254]
 [300 268]
 [299 281]
 [298 299]
 [299 316]
 [298 328]
 [300 346]
 [301 361]
 [300 376]
 [301 391]
 [300 403]
 [300 418]
 [325 236]
 [329 249]
 [327 264]
 [328 274]
 [327 289]
 [325 303]
 [325 313]
 [324 329]
 [324 343]
 [324 358]
 [323 374]
 [322 390]
 [322 406]
 [326 417]]
