[[184  54]
 [172  60]
 [162  62]
 [150  64]
 [138  65]
 [134  76]
 [135  93]
 [132 107]
 [128 118]
 [127 134]
 [132 146]
 [135 157]
 [133 169]
 [137 182]
 [129 191]
 [126 204]
 [127 216]
 [132 226]
 [131 237]
 [138 247]
 [143 259]
 [145 275]
 [144 288]
 [147 300]
 [147 314]
 [148 328]
 [148 339]
 [149 353]
 [149 368]
 [149 384]
 [148 397]
 [149 409]
 [147 420]
 [140 421]
 [132 424]
 [128 430]
 [127 441]
 [119 441]
 [118 451]
 [117 461]
 [106 465]
 [107 476]
 [100 478]
 [100 488]
 [108 492]
 [117 495]
 [128 500]
 [136 501]
 [151 502]
 [162 507]
 [173 510]
 [184 513]
 [196 516]
 [207 518]
 [218 520]
 [229 522]
 [237 521]
 [248 518]
 [262 517]
 [275 511]
 [286 507]
 [298 504]
 [308 500]
 [321 494]
 [334 492]
 [347 488]
 [356 485]
 [366 483]
 [374 479]
 [384 477]
 [393 473]
 [394 462]
 [396 450]
 [395 442]
 [388 439]
 [388 430]
 [383 421]
 [376 418]
 [375 410]
 [366 405]
 [359 403]
 [360 393]
 [359 377]
 [360 365]
 [360 352]
 [361 340]
 [359 327]
 [361 315]
 [362 302]
 [361 291]
 [361 276]
 [360 265]
 [360 257]
 [362 251]
 [363 238]
 [369 231]
 [374 224]
 [373 217]
 [365 216]
 [352 214]
 [354 203]
 [355 192]
 [358 184]
 [349 183]
 [338 180]
 [336 172]
 [335 162]
 [333 153]
 [333 145]
 [331 137]
 [328 127]
 [332 120]
 [327 113]
 [320 106]
 [312  99]
 [301  94]
 [293  89]
 [286  84]
 [276  81]
 [264  82]
 [257  80]
 [245  79]
 [237  75]
 [227  71]
 [217  66]
 [206  62]
 [199  58]
 [144  82]
 [156  89]
 [165  96]
 [176 104]
 [183 112]
 [194 117]
 [204 127]
 [217 128]
 [235 126]
 [254 125]
 [268 127]
 [279 127]
 [292 128]
 [303 126]
 [311 128]
 [321 129]
 [211 135]
 [212 148]
 [213 162]
 [215 175]
 [216 187]
 [216 199]
 [218 212]
 [218 223]
 [218 233]
 [183 231]
 [200 230]
 [210 230]
 [191 227]
 [178 229]
 [166 228]
 [158 227]
 [145 229]
 [138 229]
 [231 228]
 [241 227]
 [254 226]
 [265 225]
 [278 223]
 [291 224]
 [304 223]
 [318 224]
 [332 222]
 [344 221]
 [154 425]
 [167 427]
 [178 429]
 [189 432]
 [198 434]
 [212 438]
 [226 442]
 [235 441]
 [246 440]
 [256 436]
 [268 433]
 [279 430]
 [290 428]
 [306 423]
 [316 420]
 [327 418]
 [339 412]
 [354 409]
 [228 452]
 [229 460]
 [231 469]
 [233 481]
 [233 493]
 [235 504]
 [236 514]
 [180 239]
 [175 245]
 [171 256]
 [174 275]
 [174 284]
 [175 295]
 [177 307]
 [176 320]
 [178 333]
 [179 347]
 [179 359]
 [179 373]
 [180 384]
 [182 398]
 [181 407]
 [181 421]
 [192 242]
 [197 246]
 [201 255]
 [201 267]
 [203 284]
 [204 299]
 [204 309]
 [205 323]
 [206 341]
 [207 355]
 [207 368]
 [206 383]
 [208 393]
 [207 407]
 [209 420]
 [207 429]
 [248 231]
 [239 241]
 [233 252]
 [235 264]
 [234 279]
 [235 290]
 [236 300]
 [236 317]
 [236 329]
 [236 343]
 [238 358]
 [239 374]
 [240 384]
 [243 402]
 [243 414]
 [243 431]
 [258 235]
 [262 242]
 [261 257]
 [263 269]
 [263 284]
 [263 296]
 [263 309]
 [262 325]
 [263 338]
 [263 352]
 [264 369]
 [264 388]
 [264 401]
 [264 416]
 [264 429]
 [316 231]
 [310 236]
 [303 242]
 [299 253]
 [300 267]
 [299 279]
 [298 297]
 [299 314]
 [298 326]
 [300 344]
 [301 359]
 [300 373]
 [301 388]
 [300 400]
 [300 415]
 [325 235]
 [329 248]
 [327 263]
 [328 273]
 [327 288]
 [325 301]
 [325 311]
 [324 327]
 [324 341]
 [324 356]
 [323 372]
 [322 387]
 [322 403]
 [326 414]]
